index,ref,jp_content,ch_content
084,#16L1,*私(わたし)*は*大学(だいがく)*の*夏休(なつやす)み*に*兵役(へいえき)*を*終(お)えた*から、*卒業後(そつぎょうご)*は*長期(ちょうき)*の*海外旅行(かいがいりょこう)*ができます。,
085,#16L2,ですから、*仲間(なかま)*とともに*二(に)*ヶ*月(げつ)**半(はん)*ぐらいヨーロッパ*旅行(りょこう)し*ようと*思(おも)い*ます。,
086,#16L4,*実(じつ)は*、*今回(こんかい)*は*旅行(りょこう)*だけではなく、*調査(ちょうさ)**研究(けんきゅう)*もかねています。,
087,#16L9,*以後(いご)*、*他(ほか)*の*国(くに)*へ*行(い)く*メンバーがこの*経験(けいけん)*を*参考(さんこう)*にすることができます。,
088,#16L15,*本(ほん)*のテーマは、*各(かく)**領域(りょういき)**一冊(いっさつ)*ずつ*読(よ)んで*、できるだけ*多(おお)く*の*学科(がっか)*を*網羅(もうら)する**予定(よてい)*です。,
089,#16L16,*知識(ちしき)*が*広(ひろ)ければ**広(ひろ)い*ほど、*旅行(りょこう)*の*意味(いみ)*が*深(ふか)まる*わけです。,
090,#16L18,*百歩譲(ひゃっぽゆず)って*、たとえ*協会(きょうかい)*は*失敗(しっぱい)し*ても、しっかり*準備(じゅんび)した*お*陰(かげ)*で、こんなに*充実(じゅうじつ)した**二(に)*ヶ*月(げつ)*ほどの*旅行(りょこう)*はないだろうと*思(おも)い*ます。,
091,#17L8,*動物(どうぶつ)*は*冬眠(とうみん)*の*前(まえ)*に*沢山(たくさん)*の*食物(しょくもつ)*を*食(た)べて*、*体(からだ)*に*保存(ほぞん)する*ために*脂肪(しぼう)*に*変(か)わり*ます。,
092,,,
093,#17L9,それで、*現代(げんだい)**医学(いがく)*は*食(た)べ**過(す)ぎて**太(ふと)る*と*主張(しゅちょう)する*。でも*中国(ちゅうごく)**医学(いがく)*は*廃物(はいぶつ)*の*排出(はいしゅつ)*が*少(すく)ない*から*太(ふと)る*と*主張(しゅちょう)する*。,
094,#17L13,*最後(さいご)*に、*中国(ちゅうごく)**医学(いがく)*は*健康的(けんこうてき)な**生活(せいかつ)*をして、*早寝早起(はやねはやお)き*をすると、*痩(や)せる*と*主張(しゅちょう)し*ます。,
095,#15L2,*最近(さいきん)*ついていないことが*起(お)こり*ました。*携帯(けいたい)*をトイレに*落(お)とし*ました。,
096,#15L6,2007*年(ねん)*、アップルがアメリカで「iPhone（アイフォーン）」を*発売(はつばい)した*。その*時(とき)*から*買(か)い**占(し)め*ブームが*全世界(ぜんせかい)*に*巻(ま)き**起(お)こり*ました。,
097,#15L12,*私(わたし)*は*友達(ともだち)*と*食事(しょくじ)*をする*時(とき)*、いつも*友達(ともだち)*に「*携帯(けいたい)*ばかりをいじってないでよ」と*言(い)って*います。,
098,#15L14,*私(わたし)*にとってとりわけ*重要(じゅうよう)な*ことは、*何(なに)*があっても*目(め)*の*前(まえ)*の*人(ひと)*を*大切(たいせつ)*にすることです。,
099,#15L15,*人(ひと)*との*付(つ)き**合(あ)い*は*真心(まごころ)*をもって*人(ひと)*に*接(せっ)する*べきです。,
100,,*中国語(ちゅうごくご)*で*話(はな)して*いるからと*言(い)って**中国人(ちゅうごくじん)*だとは*限(かぎ)ら*ない！,
